region,taxa_group,taxa,period,"extraction_method: 
Foraging and collection","extraction_method: 
Spears, harpoons (unmechanised)","extraction_method: 
Hand lines, hand nets","extraction_method: 
Other hand held weapons (e.g. axes, clubs, guns)","extraction_method: 
Fixed traps (e.g. coastal fish traps of stone or wood)","extraction_method: 
Portable traps (e.g. lobster pots)
","extraction_method: 
Nets and longlines (unmechanised)","extraction_method: 
Nets, longlines, harpoons (mechanised)","extraction_method: 
Other",extraction_level,sustainable_or_not,drivers_of_change,"extraction_for_ Nonmarket_consumption_(e.g., recreational, subsistence, non-commercial fishing)",extraction_for_ Local_markets,extraction_for_ Regional markets,"extraction_for_ Inter-regional markets (e.g. long distance, transoceanic)",bibliographical_ref
Marquesas Islands,Marine plants,Enteromorpha flexuosa,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,most widespread species among the collected ones in the northern Marquesas,3,0,0,0,conte2002
Marquesas Islands,Marine plants,Cladophora patentiramea,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002
Marquesas Islands,Marine plants,Ulva lactuca,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002
Marquesas Islands,Marine plants,Caulerpa racemosa,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002
Marquesas Islands,Marine plants,Codium arabicum,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002
Marquesas Islands,Marine plants,Cladophora patentiramea,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002
Marquesas Islands,Marine plants,Caulerpa racemosa,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002
Austral Islands,Marine plants,Caulerpa bikinensi,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002
Society Islands,Marine plants,Ulva lactuca,20 (Ethno),3,0,0,0,0,0,0,0,,light,no,,3,0,0,0,conte2002; setchell1926
Hawaii Islands,Marine plants,Enteromorpha flexuosa,20 (Ethno),3,0,0,0,0,0,0,0,,moderate,no,"For pre-18th century Hawai'i, Abbott (1991) mentions the abundance and diversity of seaweed collected and consumed, especially by women given heavy food restrictions (kapu). Men collected and ate fish preferentially.",3,0,0,0,conte2002; abbott1984; abbott1991
Hawaii Islands,Marine plants,Cladophora patentiramea,20 (Ethno),3,0,0,0,0,0,0,0,,moderate,no,"For pre-18th century Hawai'i, Abbott (1991) mentions the abundance and diversity of seaweed collected and consumed, especially by women given heavy food restrictions (kapu). Men collected and ate fish preferentially.",3,0,0,0,conte2002; abbott1984; abbott1991
